TITULO;PRECIO;ENVIO;ESTADO;CALIFICACION;LINK
Samsung Galaxy A12 64gb Cuadruple Cam Refabricado Liberado;59.999;Sin envio gratuito;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1143991898-samsung-galaxy-a12-64gb-cuadruple-cam-refabricado-liberado-_JM#position=4&search_layout=stack&type=item&tracking_id=c2e5f0fd-8a77-45dd-8731-f2bf887bde66
Samsung Galaxy A12 64 Gb  Negro 4 Gb Ram;59.999;Sin envio gratuito;Reacondicionado;;https://articulo.mercadolibre.com.ar/MLA-1297806225-samsung-galaxy-a12-64-gb-negro-4-gb-ram-_JM#position=5&search_layout=stack&type=item&tracking_id=c2e5f0fd-8a77-45dd-8731-f2bf887bde66
Celular Samsung A12 64gb;60.000;Sin envio gratuito;Usado;;https://articulo.mercadolibre.com.ar/MLA-1211211897-celular-samsung-a12-64gb-_JM#position=32&search_layout=stack&type=item&tracking_id=c2e5f0fd-8a77-45dd-8731-f2bf887bde66
Samsung Galaxy A12 64 Gb  Negro 4 Gb Ram;60.000;Envío gratis;Usado;;https://articulo.mercadolibre.com.ar/MLA-1346228500-samsung-galaxy-a12-64-gb-negro-4-gb-ram-_JM#position=33&search_layout=stack&type=item&tracking_id=c2e5f0fd-8a77-45dd-8731-f2bf887bde66
Celular Samsung A12excelente Funcionando Pantalla Rota;60.000;Envío gratis;Usado;;https://articulo.mercadolibre.com.ar/MLA-1345691134-celular-samsung-a12excelente-funcionando-pantalla-rota-_JM#position=40&search_layout=stack&type=item&tracking_id=c2e5f0fd-8a77-45dd-8731-f2bf887bde66
Celular Samsung Galaxy A12. Con Cable Usb Sin Auriculares ;60.000;Envío gratis;Usado;;https://articulo.mercadolibre.com.ar/MLA-1284780687-celular-samsung-galaxy-a12-con-cable-usb-sin-auriculares-_JM#position=49&search_layout=stack&type=item&tracking_id=c2e5f0fd-8a77-45dd-8731-f2bf887bde66
Celular Samsung A12 64gb;60.000;Sin envio gratuito;Usado;;https://articulo.mercadolibre.com.ar/MLA-1211211897-celular-samsung-a12-64gb-_JM#position=32&search_layout=stack&type=item&tracking_id=c2e5f0fd-8a77-45dd-8731-f2bf887bde66
Samsung Galaxy A12 64 Gb  Negro 4 Gb Ram;60.000;Envío gratis;Usado;;https://articulo.mercadolibre.com.ar/MLA-1346228500-samsung-galaxy-a12-64-gb-negro-4-gb-ram-_JM#position=33&search_layout=stack&type=item&tracking_id=c2e5f0fd-8a77-45dd-8731-f2bf887bde66
Celular Samsung A12excelente Funcionando Pantalla Rota;60.000;Envío gratis;Usado;;https://articulo.mercadolibre.com.ar/MLA-1345691134-celular-samsung-a12excelente-funcionando-pantalla-rota-_JM#position=40&search_layout=stack&type=item&tracking_id=c2e5f0fd-8a77-45dd-8731-f2bf887bde66
Celular Samsung Galaxy A12. Con Cable Usb Sin Auriculares ;60.000;Envío gratis;Usado;;https://articulo.mercadolibre.com.ar/MLA-1284780687-celular-samsung-galaxy-a12-con-cable-usb-sin-auriculares-_JM#position=49&search_layout=stack&type=item&tracking_id=c2e5f0fd-8a77-45dd-8731-f2bf887bde66
